epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,394.488,1.01292,0.58675,1.04282,0.91435,0.97727,0.97146,0.63961,0.87192,0.49448,1.01264,0.000973861,0.000973861,0.000973861
44,404.516,1.06736,0.60617,1.04866,0.93544,1,0.9827,0.66739,0.83409,0.46355,1.00101,0.000957358,0.000957358,0.000957358
45,414.365,0.99565,0.58516,1.02939,0.91358,0.97727,0.96971,0.62623,0.94301,0.54505,1.04899,0.000940855,0.000940855,0.000940855
46,423.96,1.12753,0.62738,1.07254,0.91507,0.97727,0.97762,0.62019,0.93546,0.5165,1.03444,0.000924352,0.000924352,0.000924352
47,433.865,1.01391,0.59993,1.05085,0.91461,0.97727,0.97411,0.62432,0.85122,0.45183,1.0103,0.000907848,0.000907848,0.000907848
48,443.561,1.0218,0.57058,1.03069,0.94721,1,0.98334,0.63531,1.00465,0.50426,1.06179,0.000891345,0.000891345,0.000891345
49,452.873,1.09722,0.59105,1.05157,0.93632,1,0.97923,0.6542,0.92313,0.50386,1.02278,0.000874842,0.000874842,0.000874842
50,462.41,1.05582,0.59557,1.05444,0.91484,0.97727,0.96415,0.62207,0.96854,0.49757,1.0378,0.000858338,0.000858338,0.000858338
51,472.533,1.08557,0.59381,1.06535,0.94025,1,0.98729,0.61624,0.95167,0.48847,1.03149,0.000841835,0.000841835,0.000841835
52,481.995,1.05461,0.5913,1.0459,0.94309,1,0.98321,0.65892,0.82506,0.4718,0.99598,0.000825332,0.000825332,0.000825332
53,491.084,1.05134,0.56503,1.04627,0.94766,1,0.98395,0.64587,0.82225,0.47365,0.99416,0.000808828,0.000808828,0.000808828
54,499.955,1.04574,0.56084,1.02797,0.93757,1,0.97942,0.63631,0.86165,0.46107,1.00849,0.000792325,0.000792325,0.000792325
